STUDENTNUMBER,COURSE_CD,COURSE_TITLE,COURSE_VERSION,COURSE_ATTEMPT_STATUS,MODE,TYPE,ORG_UNIT_CD,COMMENCEMENT_DT,ENROLLED_CURRENT_TP,ENROLLED_YR,STUDENT_TYPE,CREDIT_POINTS_REQUIRED,ADVANCED STANDING CP,COMPLETED_CREDIT_POINTS,OUTSTANDING_POINTS,Course Location,Completed Units,Adv Stnd Units,Unit Sets (Completed),Unit Sets (Non-Completed)
BSC14,BSC,Bachelor of Science,15,INACTIVE,ON,FT,S0008,1/30/2021,No,No,Domestic,144,0,24,120,ARMIDALE,"CHEM100 TRI-1 2021 ON
MTHS110 TRI-1 2021 ON
PSYC101 TRI-1 2021 ON
PSYC102 TRI-2 2021 ON",,,PSYCH001.5 N Psychology (Major)
BSC15,BSC,Bachelor of Science,16,ENROLLED,ON,FT,S0008,1/29/2022,Yes,Yes,Domestic,144,0,0,144,ARMIDALE,,,,FORSC001.6 N Forensic Science (Major)
BSC16,BSC,Bachelor of Science,16,ENROLLED,ON,FT,S0008,2/12/2022,Yes,Yes,Domestic,144,0,0,144,ARMIDALE,,,,BICHTEC001.3 N Biochemistry/Biotechnology (Major)
BSC17,BSC,Bachelor of Science,15,ENROLLED,OL,PT,S0008,10/25/2021,Yes,Yes,Domestic,144,0,12,132,ARMIDALE,"MTHS100 TRI-3 2021 OL
PHYS100 TRI-3 2021 OL",,,MATHSM001.6 N Mathematics (Major)
BSC18,BSC,Bachelor of Science,15,ENROLLED,ON,PT,S0008,1/30/2021,Yes,Yes,Domestic,144,0,36,108,ARMIDALE,"COSC110 TRI-1 2021 ON
MTHS100 TRI-1 2021 ON
AMTH140 TRI-2 2021 ON
COSC120 TRI-2 2021 ON
ICT100 TRI-3 2021 OL
ICT101 TRI-3 2021 OL",,,COMPSC001.2 N Computational Science (Major)
BSC19,BSC,Bachelor of Science,15,ENROLLED,ON,FT,S0008,1/30/2021,Yes,Yes,Domestic,144,0,30,114,ARMIDALE,"BIOL110 TRI-1 2021 OL
MTHS110 TRI-1 2021 OL
ZOOL100 TRI-1 2021 OL
BIOL120 TRI-3 2021 OL
ECOL100 TRI-3 2021 OL",,,ZOOLOM002.5 N Zoology (Major)
BSC20,BSC,Bachelor of Science,15,ENROLLED,OL,FT,S0008,7/8/2019,Yes,Yes,Domestic,144,24,24,120,ARMIDALE,,"CHEM100 
PHYS131 
PHYS132 
PHYS2XX06 ",,APPHYS001.6 N Applied Physics (Major)
BSC21,BSC,Bachelor of Science,16,ENROLLED,OL,PT,S0008,1/29/2022,Yes,Yes,Domestic,144,54,54,90,ARMIDALE,,"MM110 
MM322 
MM324 
MM333 
MTHS120 
MTHS130 
STAT100 
UNSP2XX12 ",,PSYCH001.6 N Psychology (Major)
BSC22,BSC,Bachelor of Science,16,INACTIVE,OL,PT,S0008,2/28/2022,No,No,Domestic,144,36,36,108,ARMIDALE,,"ARPA104 
ARPA300 
ARPA343 
ARPA356 
ARPA370 
GISC436 ",,"ARCHGY001.6 N Archaeology (Major)
FORSC001.6 N Forensic Science (Major)"
BSC23,BSC,Bachelor of Science,16,ENROLLED,OL,PT,S0008,5/28/2022,No,Yes,Domestic,144,6,6,138,ARMIDALE,,ARPA104 ,,ARCHGY001.6 N Archaeology (Major)
BSC24,BSC,Bachelor of Science,15,INACTIVE,OL,PT,S0008,10/25/2021,No,No,Domestic,144,42,48,96,ARMIDALE,ECOL203 TRI-3 2021 OL,"BIOL110 
BIOL120 
ECOL100 
GEOL110 
MTHS110 
SOIL222 
STAT100 ",,BOTANM002.6 N Botany (Major)
BSC25,BSC,Bachelor of Science,15,ENROLLED,OL,FT,S0008,1/30/2021,Yes,Yes,Domestic,144,0,0,144,ARMIDALE,,,,MATHSM001.6 N Mathematics (Major)
BSC26,BSC,Bachelor of Science,15,INTERMIT,OL,PT,S0008,6/28/2021,No,Yes,Domestic,144,6,12,132,ARMIDALE,MTHS120 TRI-2 2021 OL,MTHS110 ,,MATHSM001.6 N Mathematics (Major)
BSC27,BSC,Bachelor of Science,15,ENROLLED,OL,PT,S0008,1/30/2021,Yes,Yes,Domestic,144,18,30,114,ARMIDALE,"SCI100 TRI-1 2021 OL
GEOL110 TRI-3 2021 OL","BIOL110 
CHEM100 
MTHS110 ",,COMPSC001.2 N Computational Science (Major)
BSC28,BSC,Bachelor of Science,15,ENROLLED,ON,FT,S0008,1/30/2021,Yes,Yes,Domestic,144,0,30,114,ARMIDALE,"GEOL110 TRI-1 2021 ON
MTHS110 TRI-1 2021 ON
BIOL120 TRI-2 2021 ON
GEOL120 TRI-2 2021 ON
STAT100 TRI-2 2021 ON",,,PABIOM003.5 N Palaeobiology (Major)
BSC29,BSC,Bachelor of Science,16,ENROLLED,OL,PT,S0008,2/21/2022,Yes,Yes,Domestic,144,0,0,144,ARMIDALE,,,,"BICHTEC001.3 N Biochemistry/Biotechnology (Major)
STAT001.1 N Statistics (Minor)"
BSC30,BSC,Bachelor of Science,16,ENROLLED,OL,FT,S0008,2/22/2022,Yes,Yes,Domestic,144,42,42,102,ARMIDALE,,"BIOL110 
CHEM100 
CHEM110 
GEOL110 
MTHS100 
MTHS110 
STAT100 ",,"BIODIV002.5 N Biodiversity (Major)
CHEMIM002.8 N Chemistry (Major)"
BSC31,BSC,Bachelor of Science,15,INACTIVE,OL,PT,S0008,6/28/2021,No,Yes,Domestic,144,24,30,114,ARMIDALE,MTHS120 TRI-2 2021 OL,"EDME392 
EDME393 
EDME394 
EDME395 ",,MATHSM001.6 N Mathematics (Major)
BSC32,BSC,Bachelor of Science,16,ENROLLED,OL,PT,S0008,1/29/2022,Yes,Yes,Domestic,144,0,0,144,ARMIDALE,,,,PHYSIM002.8 N Physiology (Major)
BSC33,BSC,Bachelor of Science,16,ENROLLED,OL,PT,S0008,1/29/2022,Yes,Yes,Domestic,144,6,6,138,ARMIDALE,,MTHS110 ,,CHEMIM002.8 N Chemistry (Major)
BSC34,BSC,Bachelor of Science,15,INACTIVE,OL,PT,S0008,6/30/2014,No,Yes,Domestic,144,36,108,36,ARMIDALE,"CHEM110 TRI-1 2016 OF
ECOL203 TRI-1 2021 OL
ZOOL210 TRI-1 2021 OL
BIOL120 TRI-2 2015 OF
CHEM120 TRI-2 2016 OF
ECOL202 TRI-2 2021 OL
MATH120 TRI-2 2015 OF
RSNR120 TRI-2 2014 OF
ZOOL203 TRI-2 2021 OL
BIOL110 TRI-3 2014 OF
STAT100 TRI-3 2014 OF
ZOOL100 TRI-3 2021 OL","BCHM210 
CHEM250 
MICR220 
PHAR370 
PSIO230 
PSIO335 ",,ZOOLOM002.5 N Zoology (Major)
BSC35,BSC,Bachelor of Science,16,ENROLLED,OL,PT,S0008,1/29/2022,No,No,Domestic,144,30,30,114,ARMIDALE,,"CHEM110 
ECOL100 
MTHS110 
MTHS120 
STAT100 ",,
BSC36,BSC,Bachelor of Science,15,INACTIVE,OL,PT,S0008,6/28/2021,No,No,Domestic,144,36,36,108,ARMIDALE,,"CHEM100 
EVOL102 
GEOL110 
GEOL120 
GEOL202 
GEOL313 ",,CHEMIM002.7 N Chemistry (Major)
BSC37,BSC,Bachelor of Science,15,ENROLLED,OL,PT,S0008,1/30/2021,Yes,Yes,Domestic,144,24,48,96,ARMIDALE,"MTHS120 TRI-1 2021 OL
PHYS131 TRI-1 2021 OL
PHYS132 TRI-2 2021 OL
MTHS130 TRI-3 2021 OL","GEOL110 
MTHS110 
STAT100 
STAT210 ",,"APPHYS001.6 N Applied Physics (Major)
STAT001.1 N Statistics (Minor)"
BSC38,BSC,Bachelor of Science,15,INACTIVE,OL,PT,S0008,6/28/2021,No,Yes,Domestic,144,12,12,132,ARMIDALE,,"CHEM100 
PHYS100 ",,MATHSM001.6 N Mathematics (Major)
BSC39,BSC,Bachelor of Science,16,ENROLLED,ON,FT,S0008,1/29/2022,Yes,Yes,Domestic,144,0,0,144,ARMIDALE,,,,"FORSC001.6 N Forensic Science (Major)
MICROM001.6 N Microbiology (Major)"
BSC40,BSC,Bachelor of Science,16,ENROLLED,OL,PT,S0008,5/28/2022,No,Yes,Domestic,144,42,42,102,ARMIDALE,,"BCSS100 
PSYC101 
PSYC102 
PSYC200 
PSYC202 
PSYC307 
PSYC314 ",,PSYCH001.6 N Psychology (Major)
BSC41,BSC,Bachelor of Science,15,INACTIVE,ON,FT,S0008,2/25/2021,No,Yes,Domestic,144,12,30,114,ARMIDALE,"GEOL110 TRI-1 2021 ON
PHYS131 TRI-1 2021 ON
MTHS120 TRI-2 2021 ON","CHEM100 
PHYS100 ",,"APPHYS001.6 N Applied Physics (Major)
MATHSM001.6 N Mathematics (Major)"
BSC42,BSC,Bachelor of Science,15,INACTIVE,OL,PT,S0008,10/25/2021,No,Yes,Domestic,144,30,30,114,ARMIDALE,,"BIOL110 
CHEM100 
MTHS110 
PSYC101 
STAT100 ",,PSYCH001.4 N Psychology (Major)
BSC43,BSC,Bachelor of Science,15,ENROLLED,OL,FT,S0008,7/5/2021,Yes,Yes,Domestic,144,42,48,96,ARMIDALE,MTHS110 TRI-2 2021 OL,"BIOL110 
BIOL120 
CHEM100 
ECOL100 
GEPL324 
SOIL222 
STAT100 ",,ANSVET002.3 N Animal Science and Veterinary Studies (Major)
BSC44,BSC,Bachelor of Science,15,INACTIVE,OL,FT,S0008,1/30/2021,No,No,Domestic,144,18,24,120,ARMIDALE,PHYS131 TRI-1 2021 OL,"CHEM100 
COSC110 
SCI100 ",,"APPHYS001.6 N Applied Physics (Major)
CHEMIM002.7 N Chemistry (Major)"
BSC45,BSC,Bachelor of Science,16,ENROLLED,OL,FT,S0008,2/18/2022,Yes,Yes,Domestic,144,18,18,126,ARMIDALE,,"BIOL110 
MTHS120 
MTHS130 ",,MATHSM001.7 N Mathematics (Major)
BSC46,BSC,Bachelor of Science,15,ENROLLED,ON,PT,S0008,6/28/2021,Yes,Yes,Domestic,144,6,18,126,ARMIDALE,"CHEM110 TRI-2 2021 OL
MTHS110 TRI-2 2021 OL",BIOL120 ,,ANSVET002.3 N Animal Science and Veterinary Studies (Major)
BSC47,BSC,Bachelor of Science,15,INACTIVE,OL,FT,S0008,1/30/2021,No,No,Domestic,144,42,42,102,ARMIDALE,,"BCHM210 
CHEM110 
CHEM120 
GENE210 
MTHS120 
PSIO110 
PSIO120 ",,"FORSC001.5 N Forensic Science (Major)
PHYSIM002.7 N Physiology (Major)"
BSC48,BSC,Bachelor of Science,15,ENROLLED,OL,FT,S0008,6/29/2020,Yes,Yes,Domestic,144,18,102,42,ARMIDALE,"BCHM210 TRI-1 2021 ON
GENE210 TRI-1 2021 ON
PSIO230 TRI-1 2021 OL
BIOL120 TRI-2 2020 ON
CHEM120 TRI-2 2020 ON
GENE251 TRI-2 2021 ON
MICR220 TRI-2 2021 ON
MTHS110 TRI-2 2020 ON
NEUR334 TRI-2 2021 OL
NEUR335 TRI-2 2021 OL
PSIO120 TRI-2 2020 ON
BIOL110 TRI-3 2020 OL
BTEC360 TRI-3 2021 OL
STAT100 TRI-3 2020 OL","CHEM110 
PSIO110 
SCI100 ",,"MICROM001.6 N Microbiology (Major)
NEUROSC001.3 N Neuroscience (Major)"
BSC49,BSC,Bachelor of Science,15,INTERMIT,OL,PT,S0008,1/30/2021,No,No,Domestic,144,0,12,132,ARMIDALE,"MTHS120 TRI-1 2021 OL
MTHS130 TRI-2 2021 OL",,,MATHSM001.6 N Mathematics (Major)
BSC50,BSC,Bachelor of Science,15,ENROLLED,ON,FT,S0008,2/26/2021,Yes,Yes,Domestic,144,36,48,96,ARMIDALE,"ANSC314 TRI-2 2021 OL
STAT100 TRI-2 2021 ON","BCHM210 
BIOL110 
BIOL120 
CHEM100 
CHEM110 
MTHS100 ",,MICROM001.6 N Microbiology (Major)
BSC51,BSC,Bachelor of Science,15,INACTIVE,OL,FT,S0008,1/30/2021,No,No,Domestic,144,0,0,144,ARMIDALE,,,,PABIOM003.5 N Palaeobiology (Major)
BSC52,BSC,Bachelor of Science,15,INACTIVE,OL,PT,S0008,6/28/2021,No,No,Domestic,144,18,36,108,ARMIDALE,"BOTY202 TRI-2 2021 OL
STAT100 TRI-2 2021 OL
ECOL203 TRI-3 2021 OL","BIOL110 
BIOL120 
MTHS110 ",,BOTANM002.6 N Botany (Major)
BSC53,BSC,Bachelor of Science,15,INACTIVE,OL,PT,S0008,6/28/2021,No,No,Domestic,144,0,0,144,ARMIDALE,,,,GEOSCM002.4 N Geoscience (Major)
BSC54,BSC,Bachelor of Science,16,ENROLLED,ON,FT,S0008,1/29/2022,Yes,Yes,Domestic,144,0,0,144,ARMIDALE,,,,"BICHTEC001.3 N Biochemistry/Biotechnology (Major)
NEUROSC001.5 N Neuroscience (Major)"
BSC55,BSC,Bachelor of Science,16,ENROLLED,ON,FT,S0008,1/29/2022,Yes,Yes,Domestic,144,0,0,144,ARMIDALE,,,,
BSC56,BSC,Bachelor of Science,16,ENROLLED,ON,FT,S0008,1/29/2022,Yes,Yes,Domestic,144,78,78,66,ARMIDALE,,"BCHM210 
BIOL110 
CHEM100 
CHEM110 
CHEM120 
GENE210 
MICR220 
PSIO110 
PSIO120 
PSIO220 
PSYC101 
PSYC102 
STAT100 ",,PHYSIM002.8 N Physiology (Major)
BSC57,BSC,Bachelor of Science,16,ENROLLED,OL,FT,S0008,1/29/2022,Yes,Yes,Domestic,144,0,0,144,ARMIDALE,,,,"GENETM001.6 N Genetics (Major)
NEUROSC001.5 N Neuroscience (Major)"
BSC58,BSC,Bachelor of Science,15,INACTIVE,OL,PT,S0008,6/28/2021,No,No,Domestic,144,0,12,132,ARMIDALE,"MTHS110 TRI-2 2021 OL
STAT100 TRI-2 2021 OL",,,FORSC001.5 N Forensic Science (Major)
BSC59,BSC,Bachelor of Science,15,ENROLLED,OL,PT,S0008,10/25/2021,Yes,Yes,Domestic,144,0,6,138,ARMIDALE,BIOL110 TRI-3 2021 OL,,,"ANSVET002.3 N Animal Science and Veterinary Studies (Major)
GENETM001.5 N Genetics (Major)"
BSC60,BSC,Bachelor of Science,15,INACTIVE,OL,PT,S0008,10/25/2021,No,No,Domestic,144,0,0,144,ARMIDALE,,,,APPHYS001.6 N Applied Physics (Major)
BSC61,BSC,Bachelor of Science,15,INACTIVE,OL,PT,S0008,6/27/2016,No,No,Domestic,144,0,54,90,ARMIDALE,"COSC101 TRI-1 2018 OL
COSC120 TRI-1 2017 OF
COSC210 TRI-1 2018 OL
PHYS131 TRI-1 2017 OF
AMTH140 TRI-2 2016 OF
COSC240 TRI-2 2017 OF
MTHS120 TRI-2 2016 OF
COSC110 TRI-3 2016 OF
PHYS100 TRI-3 2016 OF",,,"COMPSC001.1 N Computational Science
MATHSM001.5 N Mathematics"
BSC62,BSC,Bachelor of Science,15,ENROLLED,OL,PT,S0008,7/1/2021,Yes,Yes,Domestic,144,42,42,102,ARMIDALE,,"AMTH246 
LAW100 
LAW101 
MTHS120 
MTHS130 
PHYS208 
SCI210 ",,APPHYS001.6 N Applied Physics (Major)
BSC63,BSC,Bachelor of Science,15,ENROLLED,OL,PT,S0008,10/25/2021,Yes,Yes,Domestic,144,12,18,126,ARMIDALE,MTHS100 TRI-3 2021 OL,"PSYC202 
PSYC372 ",,MATHSM001.6 N Mathematics (Major)
BSC64,BSC,Bachelor of Science,16,ENROLLED,OL,FT,S0008,2/14/2022,Yes,Yes,Domestic,144,0,0,144,ARMIDALE,,,,CHEMIM002.8 N Chemistry (Major)
BSC65,BSC,Bachelor of Science,15,INACTIVE,OL,PT,S0008,6/29/2020,No,No,Domestic,144,0,0,144,ARMIDALE,,,,"APPHYS001.6 N Applied Physics (Major)
MATHSM001.6 N Mathematics (Major)"
BSC66,BSC,Bachelor of Science,15,ENROLLED,OL,FT,S0008,10/25/2021,Yes,Yes,Domestic,144,0,12,132,ARMIDALE,"GEOL110 TRI-3 2021 OL
ZOOL100 TRI-3 2021 OL",,,PABIOM003.5 N Palaeobiology (Major)
BSC67,BSC,Bachelor of Science,16,ENROLLED,OL,PT,S0008,1/29/2022,Yes,Yes,Domestic,144,0,0,144,ARMIDALE,,,,"APPHYS001.6 N Applied Physics (Major)
BIODIV002.4 N Biodiversity (Major)
GEOSCM002.4 N Geoscience (Major)"
BSC68,BSC,Bachelor of Science,15,INACTIVE,OL,FT,S0008,1/30/2021,No,No,Domestic,144,0,0,144,ARMIDALE,,,,ANSVET002.3 N Animal Science and Veterinary Studies (Major)
BSC69,BSC,Bachelor of Science,16,ENROLLED,OL,PT,S0008,1/29/2022,Yes,Yes,Domestic,144,18,18,126,ARMIDALE,,"CHEM100 
FSC102 
STAT100 ",,"BIODIV002.5 N Biodiversity (Major)
ZOOLOM002.6 N Zoology (Major)"
BSC70,BSC,Bachelor of Science,15,INACTIVE,OL,FT,S0008,3/2/2021,No,No,Domestic,144,0,0,144,ARMIDALE,,,,
BSC71,BSC,Bachelor of Science,16,ENROLLED,ON,PT,S0008,1/29/2022,Yes,Yes,Domestic,144,0,0,144,ARMIDALE,,,,FORSC001.6 N Forensic Science (Major)
BSC72,BSC,Bachelor of Science,15,ENROLLED,OL,PT,S0008,10/25/2021,Yes,Yes,Domestic,144,0,0,144,ARMIDALE,,,,PABIOM003.3 N Palaeobiology (Major)
BSC73,BSC,Bachelor of Science,16,ENROLLED,ON,FT,S0008,1/29/2022,Yes,Yes,Domestic,144,0,0,144,ARMIDALE,,,,BICHTEC001.3 N Biochemistry/Biotechnology (Major)
BSC74,BSC,Bachelor of Science,16,ENROLLED,OL,FT,S0008,2/21/2022,Yes,Yes,Domestic,144,0,0,144,ARMIDALE,,,,"BIODIV002.5 N Biodiversity (Major)
CHEMIM002.8 N Chemistry (Major)"
BSC75,BSC,Bachelor of Science,16,ENROLLED,OL,PT,S0008,2/7/2022,Yes,Yes,Domestic,144,0,0,144,ARMIDALE,,,,FORSC001.6 N Forensic Science (Major)
BSC76,BSC,Bachelor of Science,16,ENROLLED,OL,PT,S0008,1/29/2022,Yes,Yes,Domestic,144,0,0,144,ARMIDALE,,,,"APPHYS001.7 N Applied Physics (Major)
MATHSM001.7 N Mathematics (Major)"
BSC77,BSC,Bachelor of Science,15,ENROLLED,OL,PT,S0008,7/8/2019,Yes,Yes,Domestic,144,24,72,72,ARMIDALE,"CHEM204 TRI-1 2021 OL
NEUR337 TRI-1 2021 OL
PSIO110 TRI-1 2021 OL
CHEM250 TRI-2 2021 OL
MTHS110 TRI-2 2019 OL
NEUR334 TRI-2 2021 OL
BCHM210 TRI-3 2021 OL
STAT100 TRI-3 2019 OL","BIOL110 
CHEM100 
CHEM110 
CHEM120 ",,"CHEMIM002.7 N Chemistry (Major)
NEUROSC001.4 N Neuroscience (Major)"
BSC78,BSC,Bachelor of Science,16,ENROLLED,OL,PT,S0008,2/11/2022,Yes,Yes,Domestic,144,0,0,144,ARMIDALE,,,,BICHTEC001.3 N Biochemistry/Biotechnology (Major)
BSC79,BSC,Bachelor of Science,16,ENROLLED,OL,PT,S0008,1/29/2022,Yes,Yes,Domestic,144,0,0,144,ARMIDALE,,,,MATHSM001.7 N Mathematics (Major)
BSC80,BSC,Bachelor of Science,15,ENROLLED,ON,FT,S0008,1/30/2021,Yes,Yes,Domestic,144,0,42,102,ARMIDALE,"BIOL110 TRI-1 2021 ON
GEOL110 TRI-1 2021 ON
MTHS110 TRI-1 2021 ON
ZOOL100 TRI-1 2021 ON
BIOL120 TRI-2 2021 ON
GEOL120 TRI-2 2021 ON
STAT100 TRI-2 2021 ON",,,"PABIOM003.4 N Palaeobiology (Major)
ZOOLOM002.5 N Zoology (Major)"
BSC81,BSC,Bachelor of Science,15,ENROLLED,OL,PT,S0008,2/3/2021,Yes,Yes,Domestic,144,0,24,120,ARMIDALE,"MTHS100 TRI-1 2021 OL
CHEM100 TRI-2 2021 OL
MTHS120 TRI-2 2021 OL
MTHS130 TRI-3 2021 OL",,,MATHSM001.6 N Mathematics (Major)
BSC82,BSC,Bachelor of Science,15,INACTIVE,OL,PT,S0008,6/28/2021,No,No,Domestic,144,0,0,144,ARMIDALE,,,,APPHYS001.6 N Applied Physics (Major)
BSC83,BSC,Bachelor of Science,15,INACTIVE,OL,PT,S0008,6/28/2021,No,No,Domestic,144,0,0,144,ARMIDALE,,,,FORSC001.5 N Forensic Science (Major)
BSC84,BSC,Bachelor of Science,15,ENROLLED,ON,FT,S0008,1/30/2021,Yes,Yes,Domestic,144,18,18,126,ARMIDALE,,"CHEM110 
PHYS100 
SCI100 ",,APPHYS001.6 N Applied Physics (Major)
BSC85,BSC,Bachelor of Science,16,ENROLLED,OL,FT,S0008,2/24/2022,Yes,Yes,Domestic,144,0,0,144,ARMIDALE,,,,ARCHGY001.6 N Archaeology (Major)
BSC86,BSC,Bachelor of Science,16,ENROLLED,OL,FT,S0008,1/29/2022,Yes,Yes,Domestic,144,36,36,108,ARMIDALE,,"CHEM100 
CHEM110 
GEOL110 
MTHS110 
PHYS100 
STAT100 ",,"APPHYS001.7 N Applied Physics (Major)
GEOSCM002.5 N Geoscience (Major)"
BSC87,BSC,Bachelor of Science,15,ENROLLED,OL,PT,S0008,2/9/2021,Yes,Yes,Domestic,144,0,12,132,ARMIDALE,"MTHS100 TRI-1 2021 OL
CHEM100 TRI-2 2021 OL",,,BOTANM002.6 N Botany (Major)
BSC88,BSC,Bachelor of Science,15,INACTIVE,OL,PT,S0008,7/1/2021,No,No,Domestic,144,0,18,126,ARMIDALE,"STAT100 TRI-2 2021 OL
ARPA100 TRI-3 2021 OL
GEOL110 TRI-3 2021 OL",,,"ARCHGY001.5 N Archaeology (Major)
FORSC001.5 N Forensic Science (Major)"
BSC89,BSC,Bachelor of Science,16,ENROLLED,OL,PT,S0008,3/4/2022,Yes,Yes,Domestic,144,0,0,144,ARMIDALE,,,,COMPSC001.2 N Computational Science (Major)
BSC90,BSC,Bachelor of Science,15,ENROLLED,OL,PT,S0008,2/26/2021,Yes,Yes,Domestic,144,84,90,54,ARMIDALE,PMTH333 TRI-1 2021 ON,"AMTH140 
COSC110 
EDEE300 
EDPE347 
EDUC303 
GEOL110 
GEOL120 
MATH260 
MTHS120 
MTHS130 
PMTH212 
PMTH213 
PMTH338 
PMTH339 ",,"BUS001.1 N Business (Minor)
MATHSM001.6 N Mathematics (Major)"
BSC91,BSC,Bachelor of Science,15,ENROLLED,OL,PT,S0008,6/28/2021,Yes,Yes,Domestic,144,0,18,126,ARMIDALE,"MTHS110 TRI-2 2021 OL
PHIL102 TRI-2 2021 OL
STAT100 TRI-2 2021 OL",,,"CHEMIM002.7 N Chemistry (Major)
PHYSIM002.7 N Physiology (Major)"
BSC92,BSC,Bachelor of Science,15,ENROLLED,ON,PT,S0008,1/30/2021,Yes,Yes,Domestic,144,0,0,144,ARMIDALE,,,,"MATHSM001.6 N Mathematics (Major)
PSYCH001.5 N Psychology (Major)"
BSC93,BSC,Bachelor of Science,15,ENROLLED,ON,PT,S0008,6/28/2021,Yes,Yes,Domestic,144,96,120,24,ARMIDALE,"BCHM341 TRI-2 2021 ON
PSIO220 TRI-2 2021 ON
PSIO332 TRI-2 2021 OL
PSIO350 TRI-2 2021 ON","BCHM210 
CHEM110 
CHEM120 
GENE210 
HDEV201 
HUMN240 
MTHS110 
MTHS120 
PHAR110 
PHAR120 
PHAR200 
PHAR210 
PHAR240 
PSIO110 
PSIO120 
PSIO230 ",,PHYSIM002.7 N Physiology (Major)
BSC94,BSC,Bachelor of Science,15,INACTIVE,OL,PT,S0008,7/1/2021,No,No,Domestic,144,0,0,144,ARMIDALE,,,,"APPHYS001.6 N Applied Physics (Major)
GEOSCM002.4 N Geoscience (Major)"
BSC95,BSC,Bachelor of Science,15,ENROLLED,OL,PT,S0008,10/25/2021,Yes,Yes,Domestic,144,0,6,138,ARMIDALE,BIOL110 TRI-3 2021 OL,,,BOTANM002.6 N Botany (Major)
