STUDENTNUMBER,COURSE_CD,COURSE_TITLE,COURSE_VERSION,COURSE_ATTEMPT_STATUS,MODE,TYPE,ORG_UNIT_CD,COMMENCEMENT_DT,ENROLLED_CURRENT_TP,ENROLLED_YR,STUDENT_TYPE,CREDIT_POINTS_REQUIRED,ADVANCED STANDING CP,COMPLETED_CREDIT_POINTS,OUTSTANDING_POINTS,Course Location,Completed Units,Adv Stnd Units,Unit Sets (Completed),Unit Sets (Non-Completed)
BN39,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,6/28/2021,Yes,Yes,International,144,42,54,90,ARMIDALE,HSNS207 TRI-2 2021 ON,BACHI42 ,,
BN40,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,6/28/2021,Yes,Yes,International,144,42,54,90,ARMIDALE,HSNS207 TRI-2 2021 ON,BACHI42 ,,
BN41,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,6/28/2021,Yes,Yes,International,144,42,54,90,UNESYDNEY,HSNS207 TRI-2 2021 ON,BACHI42 ,,
BN42,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,6/28/2021,Yes,Yes,International,144,42,54,90,ARMIDALE,HSNS207 TRI-2 2021 ON,BACHI42 ,,
BN43,BN04,Bachelor of Nursing,9,ENROLLED,ON,FT,S0003,10/25/2021,Yes,Yes,International,144,42,54,90,UNESYDNEY,HSNS207 TRI-3 2021 ON,BACHI42 ,,
BN44,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,10/25/2021,Yes,Yes,International,144,42,54,90,UNESYDNEY,HSNS207 TRI-3 2021 ON,BACHI42 ,,
BN45,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,1/30/2021,Yes,Yes,International,144,0,72,72,ARMIDALE,"HHSC111 TRI-1 2021 ON
HLTH101 TRI-1 2021 ON
HSNS170 TRI-1 2021 ON
HSNS171 TRI-1 2021 ON
HHSC112 TRI-2 2021 ON
HLTH103 TRI-2 2021 ON
HLTH104 TRI-2 2021 ON
HSNS173 TRI-2 2021 ON
HLTH102 TRI-3 2021 OL
HSNS263 TRI-3 2021 ON
HSNS264 TRI-3 2021 ON
HSNS370 TRI-3 2021 OL",,,
BN46,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,1/30/2021,Yes,Yes,International,144,48,90,54,ARMIDALE,"HLTH101 TRI-1 2021 ON
HSNS263 TRI-1 2021 ON
HSNS264 TRI-1 2021 ON
HSNS310 TRI-1 2021 ON
HSNS246 TRI-2 2021 ON
HSNS273 TRI-2 2021 ON
OORA200 TRI-2 2021 ON",NMBA48 ,,
BN47,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,2/1/2021,Yes,Yes,International,144,48,108,36,ARMIDALE,"HLTH101 TRI-1 2021 ON
HSNS263 TRI-1 2021 ON
HSNS264 TRI-1 2021 ON
HSNS310 TRI-1 2021 ON
HSNS246 TRI-2 2021 ON
HSNS270 TRI-2 2021 ON
HSNS273 TRI-2 2021 ON
OORA200 TRI-2 2021 ON
HSNS370 TRI-3 2021 OL
HSNS374 TRI-3 2021 OL",NMBA48 ,,
BN48,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,10/25/2021,Yes,Yes,International,144,42,54,90,UNESYDNEY,HSNS207 TRI-3 2021 ON,BACHI42 ,,
BN49,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,10/25/2021,Yes,Yes,International,144,42,54,90,UNESYDNEY,HSNS207 TRI-3 2021 ON,BACHI42 ,,
BN50,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,6/28/2021,Yes,Yes,International,144,42,54,90,ARMIDALE,HSNS207 TRI-2 2021 ON,BACHI42 ,,
BN51,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,6/28/2021,Yes,Yes,International,144,42,54,90,ARMIDALE,HSNS207 TRI-2 2021 ON,BACHI42 ,,
BN52,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,10/25/2021,Yes,Yes,International,144,42,54,90,UNESYDNEY,HSNS207 TRI-3 2021 ON,BACHI42 ,,
BN53,BN04,Bachelor of Nursing,9,ENROLLED,ON,FT,S0003,5/28/2022,No,No,International,144,42,42,102,ARMIDALE,,BACHI42 ,,
BN54,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,2/15/2021,Yes,Yes,International,144,48,108,36,ARMIDALE,"HLTH101 TRI-1 2021 ON
HSNS263 TRI-1 2021 ON
HSNS264 TRI-1 2021 ON
HSNS310 TRI-1 2021 ON
HSNS246 TRI-2 2021 ON
HSNS270 TRI-2 2021 ON
HSNS273 TRI-2 2021 ON
OORA200 TRI-2 2021 ON
HSNS370 TRI-3 2021 OL
HSNS374 TRI-3 2021 OL",NMBA48 ,,
BN55,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,10/25/2021,Yes,Yes,International,144,42,54,90,ARMIDALE,HSNS207 TRI-3 2021 ON,BACHI42 ,,
BN56,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,6/28/2021,Yes,Yes,International,144,42,54,90,ARMIDALE,HSNS207 TRI-2 2021 ON,BACHI42 ,,
BN57,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,1/30/2021,Yes,Yes,International,144,48,96,48,ARMIDALE,"HLTH101 TRI-1 2021 ON
HSNS273 TRI-2 2021 OL
HSNS363 TRI-2 2021 OL
HSNS370 TRI-2 2021 OL
OORA200 TRI-2 2021 OL
HSNS263 TRI-3 2021 OL
HSNS264 TRI-3 2021 OL
HSNS310 TRI-3 2021 OL",NMBA48 ,,
BN58,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,1/30/2021,Yes,Yes,International,144,0,66,78,ARMIDALE,"HLTH101 TRI-1 2021 OL
HLTH102 TRI-1 2021 ON
HSNS170 TRI-1 2021 ON
HSNS171 TRI-1 2021 ON
HHSC112 TRI-2 2021 ON
HLTH103 TRI-2 2021 ON
HLTH104 TRI-2 2021 ON
HSNS173 TRI-2 2021 ON
HSNS263 TRI-3 2021 OL
HSNS264 TRI-3 2021 OL
HSNS370 TRI-3 2021 OL",,,
BN59,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,1/30/2021,Yes,Yes,International,144,48,96,48,ARMIDALE,"HLTH101 TRI-1 2021 OL
HSNS264 TRI-1 2021 ON
HSNS273 TRI-2 2021 ON
HSNS370 TRI-2 2021 ON
OORA200 TRI-2 2021 ON
HSNS263 TRI-3 2021 ON
HSNS310 TRI-3 2021 OL
HSNS363 TRI-3 2021 OL",NMBA48 ,,
BN60,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,1/30/2021,Yes,Yes,International,144,0,48,96,ARMIDALE,"HHSC111 TRI-1 2021 OL
HLTH101 TRI-1 2021 OL
HSNS170 TRI-1 2021 OL
HSNS171 TRI-1 2021 OL
HHSC112 TRI-2 2021 ON
HLTH103 TRI-2 2021 ON
HLTH104 TRI-2 2021 ON
HSNS173 TRI-2 2021 ON",,,
BN61,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,2/1/2021,Yes,Yes,International,144,0,72,72,ARMIDALE,"HHSC111 TRI-1 2021 OL
HLTH101 TRI-1 2021 OL
HSNS170 TRI-1 2021 OL
HSNS171 TRI-1 2021 OL
HHSC112 TRI-2 2021 ON
HLTH103 TRI-2 2021 ON
HLTH104 TRI-2 2021 ON
HSNS173 TRI-2 2021 ON
HLTH102 TRI-3 2021 OL
HSNS263 TRI-3 2021 ON
HSNS264 TRI-3 2021 ON
HSNS370 TRI-3 2021 OL",,,
BN62,BN04,Bachelor of Nursing,8,ENROLLED,OL,FT,S0003,2/12/2021,Yes,Yes,International,144,0,72,72,ARMIDALE,"HHSC111 TRI-1 2021 OL
HLTH101 TRI-1 2021 OL
HSNS170 TRI-1 2021 OL
HSNS171 TRI-1 2021 OL
HHSC112 TRI-2 2021 OL
HLTH103 TRI-2 2021 OL
HLTH104 TRI-2 2021 OL
HSNS173 TRI-2 2021 OL
HLTH102 TRI-3 2021 OL
HSNS263 TRI-3 2021 OL
HSNS264 TRI-3 2021 OL
HSNS370 TRI-3 2021 OL",,,
BN63,BN04,Bachelor of Nursing,9,ENROLLED,OL,FT,S0003,1/29/2022,Yes,Yes,Domestic,144,0,0,144,ARMIDALE,,,,
BN64,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,1/30/2021,Yes,Yes,International,144,48,108,36,ARMIDALE,"HLTH101 TRI-1 2021 ON
HSNS263 TRI-1 2021 OL
HSNS264 TRI-1 2021 ON
HSNS310 TRI-1 2021 ON
HSNS246 TRI-2 2021 ON
HSNS270 TRI-2 2021 ON
HSNS273 TRI-2 2021 ON
OORA200 TRI-2 2021 ON
HSNS370 TRI-3 2021 OL
HSNS374 TRI-3 2021 OL",NMBA48 ,,
BN65,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,1/30/2021,Yes,Yes,International,144,48,78,66,ARMIDALE,"HLTH101 TRI-1 2021 ON
HSNS263 TRI-1 2021 ON
HSNS264 TRI-1 2021 ON
HSNS363 TRI-3 2021 OL
HSNS370 TRI-3 2021 OL",NMBA48 ,,
BN66,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,10/25/2021,Yes,Yes,International,144,0,0,144,ARMIDALE,,,,
BN67,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,1/30/2021,Yes,Yes,International,144,0,42,102,ARMIDALE,"HHSC111 TRI-1 2021 ON
HSNS171 TRI-1 2021 ON
HHSC112 TRI-2 2021 ON
HLTH103 TRI-2 2021 ON
HSNS173 TRI-2 2021 ON
HLTH101 TRI-3 2021 OL
HLTH104 TRI-3 2021 OL",,,
BN68,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,1/30/2021,Yes,Yes,International,144,0,54,90,ARMIDALE,"HHSC111 TRI-1 2021 OL
HLTH101 TRI-1 2021 OL
HSNS170 TRI-1 2021 OL
HSNS171 TRI-1 2021 OL
HHSC112 TRI-2 2021 OL
HLTH103 TRI-2 2021 OL
HLTH104 TRI-2 2021 OL
HLTH102 TRI-3 2021 OL
HSNS370 TRI-3 2021 OL",,,
BN69,BN04,Bachelor of Nursing,9,ENROLLED,ON,FT,S0003,1/29/2022,Yes,Yes,International,144,0,0,144,ARMIDALE,,,,
BN70,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,6/28/2021,Yes,Yes,Domestic,144,42,54,90,UNESYDNEY,HSNS207 TRI-2 2021 ON,BACHI42 ,,
BN71,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,10/25/2021,Yes,Yes,International,144,42,42,102,ARMIDALE,,BACHI42 ,,
BN72,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,2/16/2021,Yes,Yes,International,144,0,60,84,ARMIDALE,"HHSC111 TRI-1 2021 ON
HLTH101 TRI-1 2021 ON
HSNS170 TRI-1 2021 ON
HSNS171 TRI-1 2021 ON
HHSC112 TRI-2 2021 ON
HSNS173 TRI-2 2021 ON
HLTH102 TRI-3 2021 OL
HLTH103 TRI-3 2021 OL
HSNS263 TRI-3 2021 ON
HSNS264 TRI-3 2021 ON",,,
BN73,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,2/16/2021,Yes,Yes,International,144,0,0,144,ARMIDALE,,,,
BN74,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,2/18/2021,Yes,Yes,International,144,48,84,60,ARMIDALE,"HLTH101 TRI-1 2021 ON
HSNS263 TRI-1 2021 ON
HSNS264 TRI-1 2021 ON
HSNS273 TRI-2 2021 ON
OORA200 TRI-2 2021 ON
HSNS310 TRI-3 2021 OL",NMBA48 ,,
BN75,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,2/18/2021,Yes,Yes,International,144,48,96,48,ARMIDALE,"HLTH101 TRI-1 2021 ON
HSNS264 TRI-1 2021 ON
HSNS273 TRI-2 2021 ON
HSNS363 TRI-2 2021 ON
HSNS370 TRI-2 2021 ON
OORA200 TRI-2 2021 ON
HSNS263 TRI-3 2021 ON
HSNS310 TRI-3 2021 OL",NMBA48 ,,
BN76,BN04,Bachelor of Nursing,9,ENROLLED,ON,FT,S0003,1/29/2022,Yes,Yes,International,144,0,0,144,ARMIDALE,,,,
BN77,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,1/30/2021,Yes,Yes,International,144,48,90,54,ARMIDALE,"HLTH101 TRI-1 2021 ON
HSNS263 TRI-1 2021 ON
HSNS310 TRI-1 2021 ON
HSNS270 TRI-2 2021 ON
HSNS273 TRI-2 2021 ON
OORA200 TRI-2 2021 ON
HSNS264 TRI-3 2021 OL",NMBA48 ,,
BN78,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,6/28/2021,Yes,Yes,International,144,42,42,102,ARMIDALE,,BACHI42 ,,
BN79,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,10/25/2021,Yes,Yes,International,144,42,54,90,UNESYDNEY,HSNS207 TRI-3 2021 ON,BACHI42 ,,
BN80,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,10/25/2021,Yes,Yes,International,144,42,54,90,UNESYDNEY,HSNS207 TRI-3 2021 ON,BACHI42 ,,
BN81,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,10/25/2021,Yes,Yes,International,144,42,54,90,ARMIDALE,HSNS207 TRI-3 2021 ON,BACHI42 ,,
BN82,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,6/28/2021,Yes,Yes,International,144,42,42,102,ARMIDALE,,BACHI42 ,,
BN83,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,1/30/2021,Yes,Yes,International,144,0,72,72,ARMIDALE,"HHSC111 TRI-1 2021 ON
HLTH101 TRI-1 2021 ON
HSNS170 TRI-1 2021 ON
HSNS171 TRI-1 2021 ON
HHSC112 TRI-2 2021 ON
HLTH103 TRI-2 2021 ON
HLTH104 TRI-2 2021 ON
HSNS173 TRI-2 2021 ON
HLTH102 TRI-3 2021 OL
HSNS263 TRI-3 2021 ON
HSNS264 TRI-3 2021 ON
HSNS370 TRI-3 2021 OL",,,
BN84,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,6/28/2021,Yes,Yes,International,144,42,54,90,ARMIDALE,HSNS207 TRI-2 2021 ON,BACHI42 ,,
BN85,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,6/28/2021,Yes,Yes,International,144,42,54,90,UNESYDNEY,HSNS207 TRI-2 2021 ON,BACHI42 ,,
BN86,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,6/28/2021,Yes,Yes,International,144,42,54,90,UNESYDNEY,HSNS207 TRI-2 2021 ON,BACHI42 ,,
BN87,BN04,Bachelor of Nursing,9,ENROLLED,ON,FT,S0003,1/29/2022,Yes,Yes,International,144,48,48,96,ARMIDALE,,NMBA48 ,,
BN88,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,2/11/2021,Yes,Yes,International,144,0,30,114,ARMIDALE,"HHSC111 TRI-1 2021 OL
HLTH101 TRI-1 2021 OL
HSNS170 TRI-1 2021 OL
HLTH102 TRI-3 2021 OL
HLTH104 TRI-3 2021 OL",,,
BN89,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,6/28/2021,Yes,Yes,International,144,42,42,102,ARMIDALE,,BACHI42 ,,
BN90,BN04,Bachelor of Nursing,9,ENROLLED,ON,FT,S0003,1/29/2022,Yes,Yes,International,144,0,0,144,ARMIDALE,,,,
BN91,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,2/16/2021,Yes,Yes,International,144,0,60,84,ARMIDALE,"HHSC111 TRI-1 2021 ON
HLTH101 TRI-1 2021 ON
HSNS170 TRI-1 2021 ON
HSNS171 TRI-1 2021 ON
HHSC112 TRI-2 2021 ON
HSNS173 TRI-2 2021 ON
HLTH102 TRI-3 2021 OL
HLTH103 TRI-3 2021 OL
HSNS263 TRI-3 2021 ON
HSNS264 TRI-3 2021 ON",,,
BN92,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,1/30/2021,Yes,Yes,International,144,48,108,36,ARMIDALE,"HLTH101 TRI-1 2021 ON
HSNS263 TRI-1 2021 ON
HSNS264 TRI-1 2021 ON
HSNS310 TRI-1 2021 ON
HSNS246 TRI-2 2021 ON
HSNS270 TRI-2 2021 ON
HSNS273 TRI-2 2021 ON
OORA200 TRI-2 2021 ON
HSNS373 TRI-3 2021 OL",NMBA48 ,,
BN93,BN04,Bachelor of Nursing,9,ENROLLED,ON,FT,S0003,1/29/2022,Yes,Yes,International,144,0,0,144,ARMIDALE,,,,
BN94,BN04,Bachelor of Nursing,9,ENROLLED,ON,FT,S0003,1/29/2022,Yes,Yes,International,144,0,0,144,ARMIDALE,,,,
