STUDENTNUMBER,COURSE_CD,COURSE_TITLE,COURSE_VERSION,COURSE_ATTEMPT_STATUS,MODE,TYPE,ORG_UNIT_CD,COMMENCEMENT_DT,ENROLLED_CURRENT_TP,ENROLLED_YR,STUDENT_TYPE,CREDIT_POINTS_REQUIRED,ADVANCED STANDING CP,COMPLETED_CREDIT_POINTS,OUTSTANDING_POINTS,Course Location,Completed Units,Adv Stnd Units,Unit Sets (Completed),Unit Sets (Non-Completed)
BCOMP12,BCOMP,Bachelor of Computer Science,15,ENROLLED,OL,PT,S0008,6/28/2021,Yes,Yes,Domestic,144,60,84,60,ARMIDALE,"AMTH140 TRI-2 2021 OL
COSC360 TRI-2 2021 OL
MTHS110 TRI-2 2021 OL
COSC110 TRI-3 2021 OL","AFM275 
COSC101 
COSC120 
COSC210 
COSC260 
COSC310 
COSC340 
COSC370 
UNSP2XX06 
UNSP3XX06 ",,SOFTDEV002.5 N Software Development
BCOMP13,BCOMP,Bachelor of Computer Science,15,ENROLLED,OL,FT,S0008,6/28/2021,Yes,Yes,Domestic,144,0,24,120,ARMIDALE,"AMTH140 TRI-2 2021 OL
COSC110 TRI-2 2021 OL
MTHS110 TRI-2 2021 OL
STAT100 TRI-2 2021 OL",,,SOFTDEV002.5 N Software Development
BCOMP14,BCOMP,Bachelor of Computer Science,15,INACTIVE,OL,PT,S0008,1/30/2021,No,No,Domestic,144,0,0,144,ARMIDALE,,,,"DATASC001.3 N Data Science
SOFTDEV002.5 N Software Development"
BCOMP15,BCOMP,Bachelor of Computer Science,15,INACTIVE,OL,PT,S0008,10/25/2021,No,Yes,Domestic,144,30,36,108,ARMIDALE,EM334 TRI-3 2021 OL,"COSC101 
COSC110 
GEOL110 
MTHS100 
STAT100 ",,"DATASC001.3 N Data Science
SOFTDEV002.5 N Software Development"
BCOMP16,BCOMP,Bachelor of Computer Science,15,ENROLLED,OL,FT,S0008,1/30/2021,Yes,Yes,Domestic,144,0,0,144,ARMIDALE,,,,"DATASC001.3 N Data Science
SOFTDEV002.5 N Software Development"
BCOMP17,BCOMP,Bachelor of Computer Science,15,INACTIVE,OL,PT,S0008,10/25/2021,No,No,Domestic,144,30,30,114,ARMIDALE,,"COSC110 
COSC210 
COSC340 
ICT101 
UNSP1XX06 ",,"DATASC001.3 N Data Science
SOFTDEV002.5 N Software Development"
BCOMP18,BCOMP,Bachelor of Computer Science,15,INACTIVE,OL,FT,S0008,2/6/2021,No,No,Domestic,144,0,6,138,ARMIDALE,COSC101 TRI-1 2021 OL,,,SOFTDEV002.5 N Software Development
BCOMP19,BCOMP,Bachelor of Computer Science,15,INACTIVE,OL,FT,S0008,6/28/2021,No,No,Domestic,144,0,6,138,ARMIDALE,COSC110 TRI-2 2021 OL,,,SOFTDEV002.5 N Software Development
BCOMP20,BCOMP,Bachelor of Computer Science,15,INACTIVE,OL,FT,S0008,6/28/2021,No,No,Domestic,144,0,0,144,ARMIDALE,,,,SOFTDEV002.5 N Software Development
BCOMP21,BCOMP,Bachelor of Computer Science,15,ENROLLED,ON,FT,S0008,1/30/2021,Yes,Yes,Domestic,144,0,24,120,ARMIDALE,"COSC110 TRI-1 2021 OL
ICT101 TRI-1 2021 OL
MTHS110 TRI-1 2021 OL
COSC120 TRI-2 2021 OL",,,SOFTDEV002.5 N Software Development
BCOMP22,BCOMP,Bachelor of Computer Science,15,ENROLLED,OL,FT,S0008,1/30/2021,Yes,Yes,Domestic,144,0,18,126,ARMIDALE,"COSC110 TRI-1 2021 OL
COSC120 TRI-2 2021 OL
STAT100 TRI-2 2021 OL",,,SOFTDEV002.5 N Software Development
BCOMP23,BCOMP,Bachelor of Computer Science,15,ENROLLED,OL,FT,S0008,1/30/2021,Yes,Yes,Domestic,144,0,36,108,ARMIDALE,"COSC101 TRI-1 2021 OL
COSC110 TRI-1 2021 OL
ICT101 TRI-1 2021 OL
AMTH140 TRI-2 2021 OL
COSC120 TRI-2 2021 OL
STAT100 TRI-3 2021 OL",,,SOFTDEV002.5 N Software Development
BCOMP24,BCOMP,Bachelor of Computer Science,15,ENROLLED,OL,PT,S0008,6/28/2021,Yes,Yes,Domestic,144,0,12,132,ARMIDALE,"COSC110 TRI-2 2021 OL
STAT100 TRI-2 2021 OL",,,"DATASC001.3 N Data Science
SOFTDEV002.5 N Software Development"
BCOMP25,BCOMP,Bachelor of Computer Science,15,ENROLLED,OL,FT,S0008,6/28/2021,Yes,Yes,Domestic,144,0,12,132,ARMIDALE,"COSC110 TRI-2 2021 OL
STAT100 TRI-3 2021 OL",,,SOFTDEV002.5 N Software Development
BCOMP26,BCOMP,Bachelor of Computer Science,15,ENROLLED,OL,PT,S0008,10/25/2021,Yes,Yes,Domestic,144,36,36,108,ARMIDALE,,"AFM112 
AFM211 
AFM231 
AFM301 
AFM319 
ECON203 ",,SOFTDEV002.5 N Software Development
BCOMP27,BCOMP,Bachelor of Computer Science,15,ENROLLED,OL,PT,S0008,2/22/2016,Yes,Yes,Domestic,144,12,42,102,ARMIDALE,"COSC100 TRI-1 2016 ON
COSC110 TRI-1 2016 ON
JAPN101 TRI-1 2016 ON
MTHS100 TRI-1 2016 ON
AMTH140 TRI-2 2021 OL","LING101 
WRIT101 ",,
BCOMP28,BCOMP,Bachelor of Computer Science,15,INACTIVE,OL,FT,S0008,1/30/2021,No,No,Domestic,144,54,60,84,ARMIDALE,COSC210 TRI-1 2021 OL,"COSC110 
COSC120 
COSC1XX12 
COSC220 
COSC240 
COSC260 
ICT101 
MTHS110 ",,SOFTDEV002.5 N Software Development
BCOMP29,BCOMP,Bachelor of Computer Science,15,ENROLLED,OL,FT,S0008,3/3/2021,Yes,Yes,Domestic,144,0,0,144,ARMIDALE,,,,"DATASC001.3 N Data Science
SOFTDEV002.5 N Software Development"
BCOMP30,BCOMP,Bachelor of Computer Science,15,INTERMIT,OL,PT,S0008,6/27/2016,No,Yes,Domestic,144,18,102,42,ARMIDALE,"COSC101 TRI-1 2018 OL
COSC210 TRI-1 2017 OF
STAT210 TRI-1 2020 OL
AMTH140 TRI-2 2017 OF
COSC102 TRI-2 2020 OL
COSC110 TRI-2 2016 OF
COSC120 TRI-2 2017 OF
COSC240 TRI-2 2018 OL
COSC330 TRI-2 2018 OL
COSC350 TRI-2 2019 OL
GEOL110 TRI-3 2017 OF
SCI100 TRI-3 2017 OF
STAT100 TRI-3 2016 OF
WRIT101 TRI-3 2018 OL","COSC220 
COSC230 
COSC260 ",,DATASC001.1 N Data Science
BCOMP31,BCOMP,Bachelor of Computer Science,15,INACTIVE,OL,PT,S0008,2/19/2021,No,No,Domestic,144,0,18,126,ARMIDALE,"COSC101 TRI-1 2021 OL
COSC110 TRI-1 2021 OL
COSC120 TRI-2 2021 OL",,,"DATASC001.3 N Data Science
SOFTDEV002.5 N Software Development"
BCOMP32,BCOMP,Bachelor of Computer Science,15,INACTIVE,OL,PT,S0008,1/30/2021,No,No,Domestic,144,0,0,144,ARMIDALE,,,,DATASC001.3 N Data Science
BCOMP33,BCOMP,Bachelor of Computer Science,15,ENROLLED,OL,PT,S0008,2/23/2021,Yes,Yes,Domestic,144,0,0,144,ARMIDALE,,,,SOFTDEV002.5 N Software Development
BCOMP34,BCOMP,Bachelor of Computer Science,15,ENROLLED,OL,PT,S0008,1/30/2021,Yes,Yes,Domestic,144,6,18,126,ARMIDALE,"COSC110 TRI-1 2021 OL
AMTH140 TRI-2 2021 OL",MTHS100 ,,"DATASC001.3 N Data Science
SOFTDEV002.5 N Software Development"
BCOMP35,BCOMP,Bachelor of Computer Science,15,ENROLLED,OL,PT,S0008,6/28/2021,Yes,Yes,Domestic,144,0,6,138,ARMIDALE,COSC110 TRI-2 2021 OL,,,DATASC001.3 N Data Science
BCOMP36,BCOMP,Bachelor of Computer Science,15,ENROLLED,OL,PT,S0008,6/28/2021,Yes,Yes,Domestic,144,0,12,132,ARMIDALE,"COSC110 TRI-2 2021 OL
MTHS100 TRI-3 2021 OL",,,"DATASC001.3 N Data Science
SOFTDEV002.5 N Software Development"
BCOMP37,BCOMP,Bachelor of Computer Science,15,ENROLLED,OL,FT,S0008,1/30/2021,Yes,Yes,Domestic,144,0,48,96,ARMIDALE,"COSC101 TRI-1 2021 OL
COSC110 TRI-1 2021 OL
MTHS110 TRI-1 2021 OL
AMTH140 TRI-2 2021 OL
COSC120 TRI-2 2021 OL
MTHS120 TRI-2 2021 OL
ICT101 TRI-3 2021 OL
STAT100 TRI-3 2021 OL",,,"DATASC001.3 N Data Science
SOFTDEV002.5 N Software Development"
BCOMP38,BCOMP,Bachelor of Computer Science,15,INACTIVE,OL,PT,S0008,1/30/2021,No,No,Domestic,144,0,0,144,ARMIDALE,,,,"DATASC001.3 N Data Science
SOFTDEV002.5 N Software Development"
BCOMP39,BCOMP,Bachelor of Computer Science,15,ENROLLED,ON,FT,S0008,1/30/2021,Yes,Yes,Domestic,144,0,36,108,ARMIDALE,"COSC101 TRI-1 2021 ON
COSC110 TRI-1 2021 ON
MTHS110 TRI-1 2021 ON
COSC102 TRI-2 2021 ON
COSC120 TRI-2 2021 ON
STAT100 TRI-3 2021 OL",,,SOFTDEV002.5 N Software Development
BCOMP40,BCOMP,Bachelor of Computer Science,15,ENROLLED,OL,PT,S0008,1/30/2021,Yes,Yes,Domestic,144,0,24,120,ARMIDALE,"COSC101 TRI-1 2021 OL
MTHS110 TRI-1 2021 OL
AMTH140 TRI-2 2021 OL
COSC110 TRI-2 2021 OL",,,"DATASC001.3 N Data Science
SOFTDEV002.5 N Software Development"
BCOMP41,BCOMP,Bachelor of Computer Science,15,ENROLLED,OL,FT,S0008,1/30/2021,Yes,Yes,Domestic,144,0,30,114,ARMIDALE,"COSC101 TRI-1 2021 OL
COSC110 TRI-1 2021 OL
ICT101 TRI-1 2021 OL
MTHS110 TRI-1 2021 OL
STAT100 TRI-3 2021 OL",,,SOFTDEV002.5 N Software Development
BCOMP42,BCOMP,Bachelor of Computer Science,15,ENROLLED,OL,PT,S0008,10/25/2021,Yes,Yes,Domestic,144,36,42,102,ARMIDALE,ICT101 TRI-3 2021 OL,"ECON101 
ECON102 
MTHS100 
MTHS120 
MTHS130 
STAT100 ",,SOFTDEV002.5 N Software Development
BCOMP43,BCOMP,Bachelor of Computer Science,15,INACTIVE,OL,PT,S0008,2/22/2016,No,Yes,Domestic,144,0,6,138,ARMIDALE,MTHS100 TRI-1 2016 OF,,,"DATASC001.3 N Data Science
SOFTDEV002.5 N Software Development"
BCOMP44,BCOMP,Bachelor of Computer Science,15,INACTIVE,OL,PT,S0008,6/28/2021,No,No,Domestic,144,0,6,138,ARMIDALE,COSC110 TRI-2 2021 OL,,,SOFTDEV002.5 N Software Development
BCOMP45,BCOMP,Bachelor of Computer Science,15,ENROLLED,OL,FT,S0008,1/30/2021,Yes,Yes,Domestic,144,0,54,90,ARMIDALE,"COSC101 TRI-1 2021 OL
COSC110 TRI-1 2021 OL
ICT101 TRI-1 2021 OL
MTHS110 TRI-1 2021 OL
COSC120 TRI-2 2021 OL
MTHS120 TRI-2 2021 OL
STAT100 TRI-2 2021 OL
AFM103 TRI-3 2021 OL
ICT100 TRI-3 2021 OL",,,SOFTDEV002.5 N Software Development
BCOMP46,BCOMP,Bachelor of Computer Science,15,INTERMIT,OL,PT,S0008,2/24/2003,No,No,Domestic,144,0,6,138,ARMIDALE,COSC110 TRI-2 2021 OL,,,"DATASC001.3 N Data Science
SOFTDEV002.5 N Software Development"
BCOMP47,BCOMP,Bachelor of Computer Science,15,ENROLLED,OL,PT,S0008,6/28/2021,Yes,Yes,Domestic,144,0,12,132,ARMIDALE,"COSC110 TRI-2 2021 OL
MTHS100 TRI-3 2021 OL",,,SOFTDEV002.5 N Software Development
BCOMP48,BCOMP,Bachelor of Computer Science,15,INACTIVE,OL,PT,S0008,10/25/2021,No,No,Domestic,144,0,0,144,ARMIDALE,,,,SOFTDEV002.5 N Software Development
BCOMP49,BCOMP,Bachelor of Computer Science,15,ENROLLED,OL,PT,S0008,2/6/2021,Yes,Yes,Domestic,144,0,18,126,ARMIDALE,"COSC110 TRI-1 2021 OL
MTHS120 TRI-2 2021 OL
STAT100 TRI-3 2021 OL",,,"DATASC001.3 N Data Science
SOFTDEV002.5 N Software Development"
BCOMP50,BCOMP,Bachelor of Computer Science,15,INACTIVE,OL,PT,S0008,10/25/2021,No,No,Domestic,144,0,0,144,ARMIDALE,,,,SOFTDEV002.5 N Software Development
BCOMP51,BCOMP,Bachelor of Computer Science,15,INACTIVE,OL,PT,S0008,1/30/2021,No,No,Domestic,144,0,0,144,ARMIDALE,,,,"DATASC001.3 N Data Science
SOFTDEV002.5 N Software Development"
BCOMP52,BCOMP,Bachelor of Computer Science,15,ENROLLED,OL,PT,S0008,6/28/2021,Yes,Yes,Domestic,144,0,12,132,ARMIDALE,"AMTH140 TRI-2 2021 OL
COSC110 TRI-3 2021 OL",,,"DATASC001.3 N Data Science
SOFTDEV002.5 N Software Development"
BCOMP53,BCOMP,Bachelor of Computer Science,15,INACTIVE,OL,PT,S0008,10/25/2021,No,No,Domestic,144,0,0,144,ARMIDALE,,,,"DATASC001.3 N Data Science
SOFTDEV002.5 N Software Development"
BCOMP54,BCOMP,Bachelor of Computer Science,15,ENROLLED,OL,PT,S0008,2/13/2021,Yes,Yes,Domestic,144,0,24,120,ARMIDALE,"COSC101 TRI-1 2021 OL
COSC110 TRI-1 2021 OL
AMTH140 TRI-2 2021 OL
MTHS120 TRI-2 2021 OL",,,SOFTDEV002.5 N Software Development
BCOMP55,BCOMP,Bachelor of Computer Science,15,INACTIVE,OL,PT,S0008,7/8/2019,No,Yes,Domestic,144,0,0,144,ARMIDALE,,,,"DATASC001.2 N Data Science
SOFTDEV002.4 N Software Development"
BCOMP56,BCOMP,Bachelor of Computer Science,15,ENROLLED,OL,FT,S0008,6/28/2021,Yes,Yes,Domestic,144,0,0,144,ARMIDALE,,,,SOFTDEV002.5 N Software Development
BCOMP57,BCOMP,Bachelor of Computer Science,15,INACTIVE,OL,PT,S0008,6/28/2021,No,No,Domestic,144,0,6,138,ARMIDALE,COSC110 TRI-2 2021 OL,,,
BCOMP58,BCOMP,Bachelor of Computer Science,15,ENROLLED,OL,FT,S0008,3/5/2018,Yes,Yes,Domestic,144,0,54,90,ARMIDALE,"COSC101 TRI-1 2021 OL
COSC110 TRI-1 2021 OL
ICT101 TRI-1 2021 OL
MTHS110 TRI-1 2021 OL
AMTH140 TRI-2 2021 OL
COSC102 TRI-2 2021 OL
COSC120 TRI-2 2021 OL
MTHS120 TRI-2 2021 OL
STAT100 TRI-3 2021 OL",,,"DATASC001.3 N Data Science
SOFTDEV002.5 N Software Development"
BCOMP59,BCOMP,Bachelor of Computer Science,15,ENROLLED,ON,FT,S0008,2/23/2021,Yes,Yes,Domestic,144,24,60,84,ARMIDALE,"COSC101 TRI-1 2021 ON
COSC120 TRI-1 2021 ON
MTHS110 TRI-1 2021 ON
AMTH140 TRI-2 2021 ON
COSC102 TRI-2 2021 ON
STAT100 TRI-2 2021 ON","COSC110 
HLTH101 
HSNS170 
ICT100 ",,SOFTDEV002.5 N Software Development
BCOMP60,BCOMP,Bachelor of Computer Science,15,ENROLLED,OL,PT,S0008,10/25/2021,Yes,Yes,Domestic,144,54,60,84,ARMIDALE,EM334 TRI-3 2021 OL,"AMTH140 
COSC101 
COSC110 
COSC120 
LAW100 
LAW162 
MTHS120 
STAT100 
STAT210 ",,DATASC001.3 N Data Science
BCOMP61,BCOMP,Bachelor of Computer Science,15,ENROLLED,OL,PT,S0008,10/25/2021,Yes,Yes,Domestic,144,24,36,108,ARMIDALE,"ICT100 TRI-3 2021 OL
STAT100 TRI-3 2021 OL","MTHS120 
MTHS130 
PHYS131 
PHYS132 ",,SOFTDEV002.5 N Software Development
BCOMP62,BCOMP,Bachelor of Computer Science,15,ENROLLED,OL,PT,S0008,10/25/2021,Yes,Yes,Domestic,144,0,12,132,ARMIDALE,"COSC110 TRI-3 2021 OL
STAT100 TRI-3 2021 OL",,,"DATASC001.3 N Data Science
SOFTDEV002.5 N Software Development"
BCOMP63,BCOMP,Bachelor of Computer Science,15,ENROLLED,OL,PT,S0008,10/25/2021,Yes,Yes,Domestic,144,0,12,132,ARMIDALE,"COSC110 TRI-3 2021 OL
STAT100 TRI-3 2021 OL",,,"DATASC001.3 N Data Science
SOFTDEV002.5 N Software Development"
BCOMP64,BCOMP,Bachelor of Computer Science,15,ENROLLED,OL,FT,S0008,2/18/2021,Yes,Yes,Domestic,144,12,42,102,ARMIDALE,"COSC110 TRI-2 2021 OL
MTHS110 TRI-2 2021 OL
STAT100 TRI-3 2021 OL
THEA134 TRI-3 2021 OL
WRIT101 TRI-3 2021 OL","MTHS100 
SCI100 ",,DATASC001.3 N Data Science
BCOMP65,BCOMP,Bachelor of Computer Science,15,INACTIVE,OL,PT,S0008,10/25/2021,No,No,Domestic,144,0,0,144,ARMIDALE,,,,
BCOMP66,BCOMP,Bachelor of Computer Science,15,ENROLLED,ON,FT,S0008,1/30/2021,Yes,Yes,Domestic,144,0,42,102,ARMIDALE,"COSC101 TRI-1 2021 ON
COSC110 TRI-1 2021 ON
MTHS120 TRI-1 2021 ON
AMTH140 TRI-2 2021 ON
COSC120 TRI-2 2021 ON
MTHS110 TRI-2 2021 ON
STAT100 TRI-2 2021 ON",,,"DATASC001.3 N Data Science
SOFTDEV002.5 N Software Development"
BCOMP67,BCOMP,Bachelor of Computer Science,15,ENROLLED,OL,PT,S0008,1/30/2021,Yes,Yes,Domestic,144,30,54,90,ARMIDALE,"COSC101 TRI-1 2021 ON
COSC210 TRI-1 2021 ON
AMTH140 TRI-2 2021 ON
STAT100 TRI-3 2021 OL","COSC110 
COSC120 
MTHS110 
PHYS100 
SCI100 ",,DATASC001.3 N Data Science
BCOMP68,BCOMP,Bachelor of Computer Science,15,INACTIVE,OL,FT,S0008,1/30/2021,No,No,Domestic,144,0,18,126,ARMIDALE,"COSC101 TRI-1 2021 OL
COSC110 TRI-1 2021 OL
MTHS120 TRI-1 2021 OL",,,"DATASC001.3 N Data Science
SOFTDEV002.5 N Software Development"
BCOMP69,BCOMP,Bachelor of Computer Science,15,ENROLLED,OL,PT,S0008,6/28/2021,Yes,Yes,Domestic,144,30,48,96,ARMIDALE,"AMTH140 TRI-2 2021 OL
COSC102 TRI-2 2021 OL
ICT101 TRI-3 2021 OL","CHEM110 
COSC110 
COSC120 
MTHS110 
STAT100 ",,DATASC001.3 N Data Science
BCOMP70,BCOMP,Bachelor of Computer Science,15,INACTIVE,OL,PT,S0008,10/25/2021,No,Yes,Domestic,144,0,6,138,ARMIDALE,COSC110 TRI-3 2021 OL,,,DATASC001.3 N Data Science
BCOMP71,BCOMP,Bachelor of Computer Science,15,INACTIVE,OL,PT,S0008,1/30/2021,No,Yes,Domestic,144,6,30,114,ARMIDALE,"COSC110 TRI-1 2021 OL
AMTH140 TRI-2 2021 OL
COSC120 TRI-2 2021 OL
STAT100 TRI-3 2021 OL",MTHS130 ,,"DATASC001.3 N Data Science
SOFTDEV002.5 N Software Development"
BCOMP72,BCOMP,Bachelor of Computer Science,15,ENROLLED,OL,FT,S0008,1/30/2021,Yes,Yes,Domestic,144,0,18,126,ARMIDALE,"COSC102 TRI-2 2021 OL
COSC110 TRI-2 2021 OL
MTHS110 TRI-2 2021 OL",,,SOFTDEV002.5 N Software Development
BCOMP73,BCOMP,Bachelor of Computer Science,15,ENROLLED,OL,PT,S0008,6/28/2021,Yes,Yes,Domestic,144,0,24,120,ARMIDALE,"AMTH140 TRI-2 2021 OL
COSC110 TRI-2 2021 OL
MTHS120 TRI-2 2021 OL
STAT100 TRI-3 2021 OL",,,SOFTDEV002.5 N Software Development
BCOMP74,BCOMP,Bachelor of Computer Science,15,INACTIVE,OL,PT,S0008,6/28/2021,No,No,Domestic,144,0,0,144,ARMIDALE,,,,SOFTDEV002.5 N Software Development
BCOMP75,BCOMP,Bachelor of Computer Science,15,ENROLLED,OL,FT,S0008,6/28/2021,Yes,Yes,Domestic,144,30,54,90,ARMIDALE,"COSC240 TRI-2 2021 OL
COSC260 TRI-2 2021 OL
MTHS100 TRI-3 2021 OL
STAT100 TRI-3 2021 OL","COSC110 
COSC120 
COSC210 
COSC220 
ICT101 ",,SOFTDEV002.5 N Software Development
BCOMP76,BCOMP,Bachelor of Computer Science,15,INACTIVE,OL,PT,S0008,10/25/2021,No,No,Domestic,144,0,0,144,ARMIDALE,,,,SOFTDEV002.5 N Software Development
BCOMP77,BCOMP,Bachelor of Computer Science,15,ENROLLED,OL,PT,S0008,6/28/2021,Yes,Yes,Domestic,144,0,12,132,ARMIDALE,"COSC110 TRI-2 2021 OL
STAT100 TRI-3 2021 OL",,,SOFTDEV002.5 N Software Development
BCOMP78,BCOMP,Bachelor of Computer Science,15,ENROLLED,OL,FT,S0008,3/2/2020,Yes,Yes,Domestic,144,36,48,96,ARMIDALE,"COSC210 TRI-1 2021 OL
STAT210 TRI-1 2021 OL","AMTH140 
COSC110 
COSC120 
MTHS120 
MTHS130 
STAT100 ",,DATASC001.3 N Data Science
BCOMP79,BCOMP,Bachelor of Computer Science,15,INACTIVE,OL,FT,S0008,1/30/2021,No,No,Domestic,144,0,6,138,ARMIDALE,MTHS110 TRI-1 2021 OL,,,
BCOMP80,BCOMP,Bachelor of Computer Science,15,INACTIVE,OL,PT,S0008,10/25/2021,No,No,Domestic,144,0,0,144,ARMIDALE,,,,SOFTDEV002.5 N Software Development
BCOMP81,BCOMP,Bachelor of Computer Science,15,INTERMIT,OL,PT,S0008,6/28/2021,No,No,Domestic,144,0,6,138,ARMIDALE,COSC110 TRI-2 2021 OL,,,"DATASC001.3 N Data Science
SOFTDEV002.5 N Software Development"
BCOMP82,BCOMP,Bachelor of Computer Science,15,ENROLLED,ON,FT,S0008,1/30/2021,Yes,Yes,Domestic,144,0,36,108,ARMIDALE,"COSC101 TRI-1 2021 ON
COSC110 TRI-1 2021 ON
ICT101 TRI-1 2021 ON
AMTH140 TRI-2 2021 ON
COSC120 TRI-2 2021 ON
STAT100 TRI-2 2021 ON",,,DATASC001.3 N Data Science
BCOMP83,BCOMP,Bachelor of Computer Science,15,INACTIVE,OL,FT,S0008,1/30/2021,No,No,Domestic,144,0,24,120,ARMIDALE,"COSC110 TRI-1 2021 OL
ICT101 TRI-1 2021 OL
MTHS120 TRI-1 2021 OL
STAT100 TRI-2 2021 OL",,,SOFTDEV002.5 N Software Development
BCOMP84,BCOMP,Bachelor of Computer Science,15,ENROLLED,OL,FT,S0008,6/28/2021,Yes,Yes,Domestic,144,18,36,108,ARMIDALE,"AMTH140 TRI-2 2021 OL
MTHS120 TRI-2 2021 OL
ICT101 TRI-3 2021 OL","COSC110 
COSC240 
UNSP1XX06 ",,SOFTDEV002.5 N Software Development
BCOMP85,BCOMP,Bachelor of Computer Science,15,ENROLLED,OL,PT,S0008,1/30/2021,Yes,Yes,Domestic,144,0,42,102,ARMIDALE,"COSC101 TRI-1 2021 OL
COSC110 TRI-1 2021 OL
MTHS110 TRI-1 2021 OL
COSC102 TRI-2 2021 OL
COSC120 TRI-2 2021 OL
MTHS120 TRI-2 2021 OL
STAT100 TRI-2 2021 OL",,,"DATASC001.3 N Data Science
SOFTDEV002.5 N Software Development"
BCOMP86,BCOMP,Bachelor of Computer Science,15,INTERMIT,OL,FT,S0008,1/30/2021,No,No,Domestic,144,0,0,144,ARMIDALE,,,,"DATASC001.3 N Data Science
SOFTDEV002.5 N Software Development"
BCOMP87,BCOMP,Bachelor of Computer Science,15,INACTIVE,OL,PT,S0008,2/9/2021,No,No,Domestic,144,0,24,120,ARMIDALE,"COSC101 TRI-1 2021 OL
MTHS110 TRI-1 2021 OL
MTHS120 TRI-2 2021 OL
COSC110 TRI-3 2021 OL",,,SOFTDEV002.5 N Software Development
BCOMP88,BCOMP,Bachelor of Computer Science,15,ENROLLED,OL,FT,S0008,3/1/2021,Yes,Yes,Domestic,144,0,6,138,ARMIDALE,MTHS110 TRI-1 2021 OL,,,SOFTDEV002.5 N Software Development
BCOMP89,BCOMP,Bachelor of Computer Science,15,ENROLLED,OL,PT,S0008,11/8/2021,Yes,Yes,Domestic,144,12,18,126,ARMIDALE,MTHS100 TRI-3 2021 OL,"MUSI111 
PSYC101 ",,SOFTDEV002.5 N Software Development
